Nama Siswa,Kelas,Tahun Ajaran,Jumlah Kehadiran,Kategori Kehadiran,Nilai Rata-rata,Kategori Nilai,Jumlah Pelanggaran,Kategori Pelanggaran,Pekerjaan Orang Tua,Penghasilan Orang Tua,Status SPP,Status Orang Tua,Risiko Drop-Out
Purwadi Mangunsong,7B,2024/2025,202,Baik,65.5,Rendah,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Bakijan Setiawan,9B,2024/2025,200,Baik,66.1,Rendah,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Sedang
Puti Ciaobella Hardiansyah,9A,2024/2025,230,Sangat Baik,84.8,Sedang,3,Sedang/Berat,PNS/TNI/Polri,< Rp 2.000.000,Lancar,Lengkap,Rendah
Jati Puspita,8B,2023/2024,232,Sangat Baik,92.2,Tinggi,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Niyaga Laksmiwati,8B,2024/2025,187,Kurang,78.6,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Kayla Aryani,8A,2023/2024,219,Baik,77.9,Sedang,1,Ringan,Buruh/Petani,> Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Makara Fujiati,7B,2025/2026,184,Kurang,82.9,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Puti Najwa Putra,9B,2025/2026,237,Sangat Baik,90.4,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Oliva Sudiati,9B,2023/2024,201,Baik,85.9,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Nugraha Haryanti,9C,2024/2025,185,Kurang,89.7,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Piatu,Sedang
Nyana Marbun,9B,2023/2024,232,Sangat Baik,72.6,Rendah,2,Ringan,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Piatu,Sedang
Cayadi Namaga,8B,2025/2026,238,Sangat Baik,67.9,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Tomi Prasetya,9A,2025/2026,231,Sangat Baik,72.6,Rendah,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim,Sedang
Umar Wasita,7B,2023/2024,195,Kurang,76.9,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Zulfa Sitompul,9A,2025/2026,195,Kurang,80.1,Sedang,1,Ringan,Karyawan Swasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Belinda Manullang,8A,2025/2026,218,Baik,89.4,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Piatu,Rendah
Harimurti Gunarto,8B,2024/2025,224,Sangat Baik,84.5,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Pardi Hasanah,7A,2024/2025,198,Kurang,66.4,Rendah,0,Tidak Ada,Tidak Bekerja,< Rp 2.000.000,Menunggak >2 Bulan,Piatu,Tinggi
Luwar Pertiwi,7A,2024/2025,229,Sangat Baik,89.6,Tinggi,1,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Gambira Palastri,8A,2025/2026,240,Sangat Baik,68.0,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Lancar,Yatim,Sedang
Paulin Widiastuti,9B,2024/2025,197,Kurang,79.4,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Mahfud Dabukke,9C,2025/2026,203,Baik,70.4,Rendah,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Sedang
Daniswara Irawan,8C,2024/2025,196,Kurang,83.0,Sedang,5,Sedang/Berat,Buruh/Petani,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Elvina Prasetya,7B,2023/2024,231,Sangat Baik,83.5,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Elisa Santoso,7A,2023/2024,185,Kurang,86.4,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Laras Anggraini,7C,2025/2026,189,Kurang,89.4,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Vero Anggraini,7C,2025/2026,235,Sangat Baik,72.9,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Irma Habibi,7B,2025/2026,206,Baik,83.2,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Rendah
Harjo Rajasa,9B,2024/2025,196,Kurang,68.2,Rendah,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Yatim,Tinggi
Emil Suryatmi,8A,2023/2024,221,Sangat Baik,74.1,Rendah,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Bella Kusumo,7A,2023/2024,219,Baik,73.2,Rendah,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Ifa Utami,8B,2023/2024,215,Baik,92.4,Tinggi,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Yatim,Rendah
Hafshah Oktaviani,9A,2024/2025,191,Kurang,89.3,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Danuja Wastuti,8A,2024/2025,183,Kurang,94.4,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Ozy Mulyani,7A,2024/2025,188,Kurang,86.7,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Muni Iswahyudi,8A,2025/2026,195,Kurang,66.2,Rendah,1,Ringan,Tidak Bekerja,> Rp 5.000.000,Lancar,Yatim Piatu,Tinggi
Victoria Sihombing,8B,2025/2026,230,Sangat Baik,89.6,Tinggi,2,Ringan,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Mustofa Suwarno,8C,2024/2025,187,Kurang,91.1,Tinggi,2,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Zizi Sitompul,7A,2025/2026,192,Kurang,91.3,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Ajimat Haryanti,8B,2023/2024,186,Kurang,80.2,Sedang,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Drajat Hutapea,8A,2025/2026,194,Kurang,85.7,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Rahayu Wijayanti,7C,2025/2026,239,Sangat Baik,84.3,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Anom Nashiruddin,8C,2025/2026,216,Baik,72.9,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Maida Padmasari,9A,2024/2025,198,Kurang,71.3,Rendah,1,Ringan,Tidak Bekerja,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Tinggi
Xanana Usada,7C,2023/2024,215,Baik,72.5,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Limar Manullang,7C,2023/2024,231,Sangat Baik,98.1,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Intan Kuswandari,9A,2023/2024,214,Baik,85.9,Tinggi,1,Ringan,Wiraswasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Kani Marpaung,9A,2025/2026,188,Kurang,94.8,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Taswir Jailani,8A,2024/2025,211,Baik,79.8,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Patricia Pratama,7C,2023/2024,227,Sangat Baik,97.3,Tinggi,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Jaswadi Padmasari,7A,2024/2025,221,Sangat Baik,65.7,Rendah,1,Ringan,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Caraka Mayasari,8B,2024/2025,207,Baik,87.9,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Usman Damanik,9A,2024/2025,222,Sangat Baik,69.1,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Nilam Hidayat,9B,2023/2024,195,Kurang,70.4,Rendah,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Tinggi
Budi Pratama,8C,2025/2026,233,Sangat Baik,66.3,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Chelsea Hutagalung,8C,2023/2024,240,Sangat Baik,81.7,Sedang,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Cemeti Melani,8B,2024/2025,216,Baik,72.4,Rendah,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Upik Marpaung,9C,2024/2025,211,Baik,74.8,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Adhiarja Permata,8C,2023/2024,224,Sangat Baik,86.0,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Paramita Setiawan,7A,2024/2025,235,Sangat Baik,93.1,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Surya Utama,8A,2025/2026,183,Kurang,77.8,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Bagus Wacana,9A,2023/2024,192,Kurang,74.1,Rendah,1,Ringan,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Adikara Megantara,9A,2023/2024,182,Kurang,98.5,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Usyi Halim,7C,2025/2026,200,Baik,70.1,Rendah,3,Sedang/Berat,Karyawan Swasta,< Rp 2.000.000,Lancar,Yatim,Tinggi
Dimas Rahayu,9B,2025/2026,205,Baik,72.9,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Tina Sihotang,8A,2025/2026,185,Kurang,68.0,Rendah,0,Tidak Ada,Tidak Bekerja,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Bakiadi Yuniar,9A,2023/2024,228,Sangat Baik,90.0,Tinggi,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Halima Halimah,8C,2025/2026,221,Sangat Baik,77.7,Sedang,5,Sedang/Berat,Karyawan Swasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Vicky Yuniar,7A,2024/2025,186,Kurang,67.8,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak >2 Bulan,Yatim,Tinggi
Latif Anggriawan,8B,2024/2025,217,Baik,69.4,Rendah,5,Sedang/Berat,Karyawan Swasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Malik Nasyidah,8C,2025/2026,233,Sangat Baik,91.8,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Diana Usamah,9B,2023/2024,214,Baik,71.9,Rendah,5,Sedang/Berat,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Piatu,Tinggi
Capa Wijaya,8A,2025/2026,197,Kurang,82.0,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Hartana Simanjuntak,7B,2025/2026,194,Kurang,89.8,Tinggi,2,Ringan,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Genta Firmansyah,7C,2025/2026,201,Baik,81.8,Sedang,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Lancar,Lengkap,Rendah
Gamanto Firmansyah,8A,2023/2024,200,Baik,72.6,Rendah,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Sedang
Rini Prakasa,9B,2025/2026,232,Sangat Baik,75.4,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Leo Putra,7B,2024/2025,225,Sangat Baik,83.4,Sedang,1,Ringan,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Zalindra Farida,8B,2024/2025,221,Sangat Baik,67.1,Rendah,2,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Piatu,Sedang
Jamalia Lailasari,8B,2023/2024,205,Baik,82.2,Sedang,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Mala Sitompul,9C,2023/2024,222,Sangat Baik,67.1,Rendah,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Rahman Ardianto,9C,2024/2025,212,Baik,89.8,Tinggi,2,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Malik Halimah,8B,2025/2026,213,Baik,69.7,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Betania Yuliarti,7B,2024/2025,204,Baik,93.9,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Wasis Samosir,7B,2025/2026,180,Kurang,97.5,Tinggi,1,Ringan,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Damar Siregar,8B,2023/2024,195,Kurang,95.5,Tinggi,2,Ringan,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Faizah Pudjiastuti,8B,2025/2026,199,Kurang,91.0,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim,Sedang
Tedi Hidayanto,8C,2023/2024,201,Baik,74.4,Rendah,2,Ringan,Buruh/Petani,> Rp 5.000.000,Menunggak >2 Bulan,Yatim,Tinggi
Shakila Puspita,7A,2025/2026,220,Sangat Baik,91.3,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Nilam Yolanda,8C,2023/2024,224,Sangat Baik,78.2,Sedang,3,Sedang/Berat,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Mitra Suryono,7C,2025/2026,219,Baik,93.5,Tinggi,10,Sedang/Berat,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Intan Widiastuti,7C,2025/2026,215,Baik,90.8,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Bala Putra,8A,2024/2025,228,Sangat Baik,92.6,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim,Rendah
Manah Purwanti,9B,2024/2025,200,Baik,94.4,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Latika Permadi,7C,2023/2024,201,Baik,95.2,Tinggi,5,Sedang/Berat,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Kacung Safitri,9B,2025/2026,233,Sangat Baik,97.4,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Puti Purwanti,9C,2024/2025,223,Sangat Baik,88.1,Tinggi,2,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Heryanto Sirait,8A,2025/2026,226,Sangat Baik,67.8,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Agnes Jailani,8B,2023/2024,225,Sangat Baik,80.7,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Widya Sitorus,8A,2023/2024,203,Baik,77.0,Sedang,0,Tidak Ada,Tidak Bekerja,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Citra Halim,8A,2025/2026,186,Kurang,77.6,Sedang,1,Ringan,PNS/TNI/Polri,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Sutan Adinata Padmasari,8A,2024/2025,226,Sangat Baik,80.6,Sedang,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Rendah
Prabawa Rajasa,9B,2024/2025,217,Baik,96.8,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Gandi Wijaya,9C,2023/2024,192,Kurang,65.1,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Aisyah Hassanah,9C,2023/2024,181,Kurang,71.8,Rendah,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Piatu,Tinggi
Icha Nainggolan,7A,2025/2026,193,Kurang,72.7,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Nadia Saputra,7B,2023/2024,189,Kurang,94.5,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Mulya Marbun,8B,2023/2024,203,Baik,84.3,Sedang,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim,Rendah
Genta Zulkarnain,7B,2025/2026,220,Sangat Baik,82.2,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Piatu,Rendah
Maimunah Pradana,7A,2025/2026,230,Sangat Baik,95.6,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Luwes Prayoga,7B,2025/2026,199,Kurang,69.1,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Yatim Piatu,Tinggi
Ana Uyainah,7A,2023/2024,235,Sangat Baik,96.7,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Wulan Wacana,7A,2025/2026,234,Sangat Baik,72.1,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Alika Prabowo,9A,2025/2026,190,Kurang,68.9,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Putri Pudjiastuti,8A,2025/2026,211,Baik,82.8,Sedang,1,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Mahfud Laksita,7B,2024/2025,184,Kurang,93.1,Tinggi,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Sedang
Soleh Waskita,7A,2025/2026,211,Baik,84.1,Sedang,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Juli Prabowo,7C,2024/2025,198,Kurang,70.5,Rendah,1,Ringan,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Tinggi
Agnes Sihombing,9A,2024/2025,234,Sangat Baik,68.5,Rendah,2,Ringan,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Kayla Tarihoran,9B,2024/2025,201,Baik,86.0,Tinggi,1,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Muhammad Wibowo,9B,2024/2025,194,Kurang,96.0,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak >2 Bulan,Yatim,Sedang
Slamet Saputra,7B,2025/2026,188,Kurang,94.5,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Sari Sitompul,9A,2024/2025,199,Kurang,90.8,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Menunggak >2 Bulan,Yatim,Sedang
Daniswara Yuniar,8A,2025/2026,234,Sangat Baik,93.3,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Karta Pradipta,8B,2025/2026,185,Kurang,93.8,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Ida Kurniawan,9B,2024/2025,193,Kurang,97.8,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Hilda Lailasari,7B,2025/2026,232,Sangat Baik,65.5,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Pranata Mustofa,7B,2023/2024,203,Baik,97.2,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Jumadi Dabukke,7B,2025/2026,219,Baik,76.4,Sedang,2,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Yatim,Sedang
Tira Wahyudin,7B,2023/2024,201,Baik,97.8,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Hilda Putra,7C,2024/2025,187,Kurang,69.3,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Ade Palastri,9A,2023/2024,236,Sangat Baik,89.2,Tinggi,5,Sedang/Berat,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Gabriella Maheswara,9C,2023/2024,199,Kurang,93.4,Tinggi,2,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Viktor Usada,8B,2025/2026,180,Kurang,69.4,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Menunggak >2 Bulan,Piatu,Tinggi
Tira Lestari,9C,2024/2025,197,Kurang,87.9,Tinggi,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Yatim,Sedang
Muni Latupono,7A,2024/2025,186,Kurang,89.4,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Latika Megantara,9B,2024/2025,220,Sangat Baik,77.6,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Edward Widodo,7A,2023/2024,224,Sangat Baik,98.0,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Prabawa Suartini,9C,2024/2025,230,Sangat Baik,93.5,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Nrima Hasanah,9A,2025/2026,193,Kurang,74.9,Rendah,2,Ringan,Buruh/Petani,< Rp 2.000.000,Menunggak >2 Bulan,Yatim,Tinggi
Jaiman Suryono,8A,2024/2025,183,Kurang,70.9,Rendah,3,Sedang/Berat,Karyawan Swasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Hamima Widodo,9B,2025/2026,189,Kurang,82.0,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Piatu,Sedang
Darmaji Oktaviani,9A,2023/2024,228,Sangat Baik,78.1,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Sabrina Wulandari,9C,2024/2025,215,Baik,71.6,Rendah,1,Ringan,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Daruna Rahmawati,7C,2024/2025,205,Baik,71.7,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Tina Haryanto,7B,2023/2024,212,Baik,84.5,Sedang,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Lancar,Lengkap,Rendah
Amalia Hidayat,9B,2025/2026,186,Kurang,82.5,Sedang,1,Ringan,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Yulia Manullang,9B,2023/2024,238,Sangat Baik,81.0,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Elvina Zulkarnain,7A,2023/2024,215,Baik,75.6,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Bahuwirya Dongoran,9C,2024/2025,220,Sangat Baik,74.6,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim Piatu,Sedang
Harsana Nababan,9A,2023/2024,205,Baik,71.6,Rendah,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Ganjaran Suryono,9C,2025/2026,192,Kurang,83.0,Sedang,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Piatu,Sedang
Ridwan Budiyanto,7B,2024/2025,205,Baik,93.1,Tinggi,2,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Alika Sihombing,7C,2024/2025,188,Kurang,73.6,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
